  3.93127701E-04 -8.75788052E-03  0.00000000E+00  0.00000000E+00 -7.40697849E-03
  9.94145433E-01  2.78359000E-02  0.00000000E+00  0.00000000E+00 -6.87096109E-03
  9.93599844E-01  2.63344245E-02  0.00000000E+00  0.00000000E+00  7.03279041E-03
 -2.25174021E-04 -6.94503552E-03  0.00000000E+00  0.00000000E+00  9.48154838E-04
 -1.26890085E-01  2.39856182E-01  0.00000000E+00  0.00000000E+00  1.67056747E-01
 -2.22420571E-01  7.65877921E-01  0.00000000E+00  0.00000000E+00 -2.18894279E-01
  1.65607628E-01 -5.36175735E-01  0.00000000E+00  0.00000000E+00 -6.82137350E-02
 -1.32029403E-01  6.46220905E-01  0.00000000E+00  0.00000000E+00  6.29299477E-01
  0.00000000E+00  0.00000000E+00  0.00000000E+00  4.45550943E-01  0.00000000E+00
  0.00000000E+00  0.00000000E+00  0.00000000E+00  7.90528205E-01  0.00000000E+00
  0.00000000E+00  0.00000000E+00  4.45550943E-01  0.00000000E+00  0.00000000E+00
  0.00000000E+00  0.00000000E+00  7.90528205E-01  0.00000000E+00  0.00000000E+00
 -1.67357023E-01  7.62490927E-01  0.00000000E+00  0.00000000E+00 -5.72569312E-01
  1.39976904E-03  3.68148659E-02  0.00000000E+00  0.00000000E+00  4.32787944E-01
  0.00000000E+00  0.00000000E+00  9.31936848E-01  0.00000000E+00  0.00000000E+00
  0.00000000E+00  0.00000000E+00 -6.64896299E-01  0.00000000E+00  0.00000000E+00
  0.00000000E+00  0.00000000E+00  0.00000000E+00  9.31936848E-01  0.00000000E+00
  0.00000000E+00  0.00000000E+00  0.00000000E+00 -6.64896299E-01  0.00000000E+00
 -1.21842819E-01  9.78207918E-01  0.00000000E+00  0.00000000E+00  1.23181347E+00
  1.28493705E-01 -1.09073150E+00  0.00000000E+00  0.00000000E+00  9.70528227E-01
