-3.7412103295e+01    -5.1259130231e+00     0.0000000000e+00     0.0000000000e+00    -1.2693993379e-01    -9.4379350703e-05    -1.0114945994e+00     0.0000000000e+00     0.0000000000e+00     1.6798052086e+00
-5.1259130231e+00    -8.8593138916e+00     0.0000000000e+00     0.0000000000e+00    -1.3193379465e+00    -1.5314400410e+00    -4.4390288474e+00     0.0000000000e+00     0.0000000000e+00     3.8230556654e+00
 0.0000000000e+00     0.0000000000e+00    -8.4980081031e+00     0.0000000000e+00     0.0000000000e+00     0.0000000000e+00     0.0000000000e+00    -2.2641827286e+00     0.0000000000e+00     0.0000000000e+00
 0.0000000000e+00     0.0000000000e+00     0.0000000000e+00    -8.4980081031e+00     0.0000000000e+00     0.0000000000e+00     0.0000000000e+00     0.0000000000e+00    -2.2641827286e+00     0.0000000000e+00
-1.2693993379e-01    -1.3193379465e+00     0.0000000000e+00     0.0000000000e+00    -9.4538745640e+00    -2.6184710686e+00    -5.5530695992e+00     0.0000000000e+00     0.0000000000e+00     3.8600757733e+00
-9.4379350703e-05    -1.5314400410e+00     0.0000000000e+00     0.0000000000e+00    -2.6184710686e+00    -6.3437980783e+01    -7.8504709017e+00     0.0000000000e+00     0.0000000000e+00     6.7296781974e-02
-1.0114945994e+00    -4.4390288474e+00     0.0000000000e+00     0.0000000000e+00    -5.5530695992e+00    -7.8504709017e+00    -1.1859235443e+01     0.0000000000e+00     0.0000000000e+00     8.2617620121e-01
 0.0000000000e+00     0.0000000000e+00    -2.2641827286e+00     0.0000000000e+00     0.0000000000e+00     0.0000000000e+00     0.0000000000e+00    -1.1615015072e+01     0.0000000000e+00     0.0000000000e+00
 0.0000000000e+00     0.0000000000e+00     0.0000000000e+00    -2.2641827286e+00     0.0000000000e+00     0.0000000000e+00     0.0000000000e+00     0.0000000000e+00    -1.1615015072e+01     0.0000000000e+00
 1.6798052086e+00     3.8230556654e+00     0.0000000000e+00     0.0000000000e+00     3.8600757733e+00     6.7296781974e-02     8.2617620121e-01     0.0000000000e+00     0.0000000000e+00    -1.2123623330e+01
